Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,119.126,-77.978,270.0,bottom
C2,10uF,C_0603_1608Metric,120.904,-77.978,90.0,bottom
C3,2.2uF,C_0603_1608Metric,173.736,-76.454,270.0,bottom
D5,TPD4E05U06DQAR_C22390021,DFN2510-10_L2.5-W1.0-P0.50-BL,172.136817,-81.518,270.0,bottom
D6,SK6812MINI-E,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,148.59,-104.14,90.0,bottom
D7,SK6812MINI-E,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,155.956,-108.458,90.0,bottom
R1,10K,R_0603,120.65,-84.836,90.0,bottom
R2,10K,R_0603,120.65,-82.042,270.0,bottom
R3,33R,R_0603,167.132,-79.248,0.0,bottom
R4,33R,R_0603,167.132,-80.518,180.0,bottom
R5,33R,R_0603,167.132,-82.55,180.0,bottom
R6,33R,R_0603,167.132,-83.82,180.0,bottom
R7,33R,R_0603,145.796,-104.198,270.0,bottom
U1,CH32V003F4P6,TSSOP-20_4.4x6.5mm_P0.65mm,113.6065,-76.241,270.0,bottom
